urun_adi,fiyat
Dell Latitude 7420 Laptop 14” FHD Core i7 16GB RAM 512GB SSD Windows 11 HDMI,14427.13812
"Dell laptop Latitude 7480 14"" I5-6Gen 16GB 256GB SSD Win 11 Pro WIFI",8065.414109999999
Dell Latitude 7420 – Intel Core i7 | 16GB RAM | 512GB SSD | 14” Touch | Win 11,9820.34301
"Asus Chromebook Flip 14"" Touchscreen i3 1.80GHz/8GB/128GB SSD (Silver) CX5400FM",4047.43821
"Lenovo LOQ 15.6"" FHD 144Hz AMD Ryzen 7 250 16GB RAM 512GB GeForce RTX 5060",38428.67301
"Lenovo LOQ-E 15.6"" 144Hz RTX 3050 Intel i5-12450HX 16GB RAM 512GB SSD AI Laptop",22203.05301
"Asus Touch Chromebook Flip 14"" i3 1.80GHz/8GB/128GB SSD - CX5400FM w/Warranty",6148.22901
"Dell Latitude 5290 2-in-1 12.3"" WUXGA Touch i3-8130U 4GB 256GB SSD IR Cam W11Pro",5081.181
"Lenovo ThinkPad L15 RYZEN 5 PRO 5650U gen 2 15.6"" FHD 16GB 512GB NVMe Win 11Pro",12596.205
"Lenovo LOQ 15.6"" FHD Gaming Laptop RTX 4050 AMD Ryzen 5 7235HS 16GB RAM 512GB",27752.21505
2025 Acer Nitro V Gaming Laptop 15 165Hz RTX 5050 Intel i5-13420H 16GB RAM 512GB,29460.17505
"Lenovo V14 2025 G4 IRU 14""  Intel i7-13620H Business Laptop 16GB RAM 512GB SSD",18360.14301
Dell Latitude 5510 Laptop 15.6” FHD Intel Core i7 16GB RAM 512GB SSD Windows 11,12543.68523
"HP Elitebook 840 G9 14"" i7-1265U 1.8GHz 16 GB RAM 512 GB SSD",12809.27301
"Lenovo ThinkPad T14 14"" Intel Core i7 4.8GHz 32GB 512GB SSD Win11 Touch Screen",16225.19301
"Lenovo LOQ-E 15.6"" 144Hz Gaming Laptop i5-12450HX 16GB RAM 512GB SSD RTX 3050",23057.03301
Lenovo ThinkBook 15 G2 ITL Laptop i5-1135G7 2.4GHZ No SSD/OS *white spot*,6191.355
"NEW HP 14"" Intel N150 3.6GHz Turbo 4GB RAM 128GB SSD Windows 11 + MS Office 365",8025.277049999999
"Dell Latitude 7420 14"" i7-1185G7 3.00GHz/16GB/512GB SSD P135G001 - w/Warranty",9701.63979
"Dell Touchscreen Chromebook 3100 11.6"" Celeron 1.1GHz/4GB/32GB SSD - P30T001",1665.261
"Lenovo IdeaPad 15.6"" FHD Laptop Intel Core i5-1335U 16GB RAM 256GB SSD Gray New",15796.49505
Dell Latitude 5420 Quad Core i5 16GB 256GB SSD Windows 11 **One Year Warranty**,9773.37411
"Lenovo Ideapad 5x 14"" OLED 2-in-1 Touch Snapdragon X Plus 16GB 1TB SSD w/ Pen",21306.801
Dell Latitude 5290 i5 CPU 16GB RAM 236Gb SSD new genuine dell battery win11 pro,3800.211
"Dell Latitude 5420 14"" Core i7 1185G7 3GHz 32GB RAM 1TB SSD Win 11 Pro",14731.155
"BRAND NEW SEALED FHD Asus 15.6"" Laptop Intel Core 5 120U 16GB 512GB SSD Win 11",16224.76602
"Dell Latitude 7410 14"" i5-10310U, 16GB, 256GB NVME SSD, Webcam Windows 11 Pro",9778.071
HP EliteBook Laptop Computer PC 14 Core i7 16GB RAM 512GB Windows 11 Pro OFFICE!,11096.61612
"15.6"" HP ProBook Laptop PC: Intel i5-8250U! 16GB RAM, 480GB SSD! CD/DVD Burner!",11399.35203
"Dell Latitude 3520 15.6"" HD Laptop Intel Core i5-1135G7 2.40GH 16GB 256GB Win11P",8539.37301
Dell Latitude 3410 Laptop 14” Core i3 8GB RAM 256GB SSD Windows 11 Pro HDMI,8026.13103
"HP Elitebook 830 G8 Laptop Intel Core i7-1185G7 32GB 512GB 13.3"" FHD Touch W11P",18787.13301
2024 HP Laptop Computer 14 4-Core Intel Processor 16GB RAM Office 365 AI-Copilot,11323.7748
"Acer Chromebook Plus 514 14"" Laptop Intel i3-N305 8GB RAM 512GB SSD Refurbished",8539.37301
"Lenovo ThinkPad X1 Carbon 14"" Business Laptop Core i5 8GB RAM 256GB SSD Win 11",8564.138429999999
"Microsoft Surface PRO 6 12.3"" Touch Laptop Core i5 8GB RAM 256GB SSD Windows 11",10447.16433
HP ProBook 450 G8 Laptop 15.6” Intel Core i5 16GB RAM 256GB SSD Windows 11 WiFi,11532.14592
10'' Mini Laptop Windows 11 Notebook 8GB+128GB Intel Celeron Quad-Core with WiFi,10674.32301
"Dell 14"" Laptop Computer PC Intel Celeron 8GB RAM 256GB SSD Windows 11 HDMI WiFi",7292.9892
"2025 Lenovo IdeaPad Laptop 15.6"" Intel Dual-Core, 20GB RAM 1TB SSD, 1-Yr MS 365",16609.911
"Acer Swift Edge 16"" OLED Laptop 16GB 1TB SSD AMD Ryzen 7 2.7GHz Refurbished",25618.97301
"Dell Inspiron 15.6"" FHD Touch AMD Ryzen 7 7730U 16GB 512GB SSD W11H Laptop, BK",15328.941
