urun_adi,fiyat
"Lenovo IdeaPad Flex 5 14"" FHD+ Chrome 14IAU7 Laptop i5-1334U 8GB RAM 256GB Ob A",8326.305
"15.6"" Dell Latitude Laptop: Intel i5 Dual Core! 16GB Ram! 512GB SSD! Windows 10!",8369.003999999999
"I-Life Zed Air Cx7 Intel Core i7 6660U 2.4GHz İşlemci 4Gb Ram 256Gb Ssd 15.6"" Windows 10 Home İşletim Sistemli Gümüş Dizüstü Bilgisayar (Teşhir Ürünü)İkinci elEn Ucuz8.399,00 TL",8399.0
"SGIN 17.3"" Laptop Notebook Windows 11 4GB RAM 128GB SSD Celeron Quad-Core 2.5Ghz",8454.402
"SGIN 15.6"" Windows 11 Laptop 12GB RAM 1TB SSD Intel Celeron Portable Business PC",8496.67401
Business 17 Inch Windows 11 Laptop With 128GB / 256GB / 512GB SSD Intel Celeron,8496.67401
"2025 New 15.6"" Windows 11 Laptop, Intel Celeron  12GB RAM 1TB SSD, Business",8497.100999999999
"SGIN 15.6"" FHD Laptop Windows 11, Intel N5095, 12GB RAM 1TB SSD, USB-C, HDMI",8497.100999999999
"Dell Latitude Laptop 5480 14"" Intel i7, 16GB, 256GB SSD, Win 11 Pro, WI-FI, Cam",8497.100999999999
"Dell Latitude 5520 Laptop - 2.6 GHz i5-1145G7 16GB 512GB 15.6"" Touchscreen - SP",8497.100999999999
"Dell Latitude 5420 Laptop - 2.4 GHz i5-1135G7 16GB 256GB SSD Webcam 14""",8497.100999999999
"SGIN 17.3 "" Laptop 4GB RAM 256GB SSD Intel Celeron Quad-Core 2.5 GHz HD 1080P",8497.100999999999
2025 New 17.3 inch Laptop 4GB DDR4 256GB SSD Intel Celeron 2.9Ghz Windows 11,8497.100999999999
"Lenovo ThinkPad T540p 15.6"" Core i5 4330M 2.8GHz 16GB RAM 512GB SSD Win 10 Pro",8497.100999999999
"SGIN Laptop 15.6"" FHD IPS 12GB 1TB SSD Intel N5095 Up to 2.9Ghz Windows 11 Home",8517.16953
Dell laptop Latitude 7480 14 i5-6th 16GB RAM 512GB SSD WIFI Cam Win 11 Pro,8534.24913
"15.6"" Lenovo L530 Laptop Windows 7 Pro  i5 2ghz 4gb 250gb DVDRW + New Battery",8538.94602
"2025 SGIN Laptop Computer 15.6"" 4-Core Intel i3 Up to 256GB RAM 1TB SSD WinPro",8539.37301
"HP - 14"" Laptop - Intel Processor N150 2025 - 4GB Memory - 128GB UFS - Natura...",8539.37301
"New 15.6"" Windows 11 Laptop, Intel Celeron N5095 12GB RAM 1024GB SSD, Business",8539.37301
"HP EliteBook 845 G8 14"" FHD Ryzen 5 PRO 5650U 2.3 GHz 16 GB DDR4 256 GB SSD W11P",8539.37301
"HP - 14"" Laptop - Intel Processor N150 2025 - 4GB Memory - 128GB UFS - Willow...",8539.37301
"HP - 14"" Laptop - Intel Processor N150 2025 - 4GB Memory - 128GB UFS - Honey ...",8539.37301
"HP - 14"" Laptop - Intel Processor N150 2025 - 4GB Memory - 128GB UFS - Sky Blue",8539.37301
"Acer Chromebook Plus 514 14"" Laptop Intel i3-N305 8GB RAM 512GB SSD Refurbished",8539.37301
HP Elitebook 840 G7  i7-10510U 1.8GHz 16 GB RAM 512 GB SSD Laptop,8539.37301
"Acer Aspire 3 15.6"" Laptop AMD Ryzen3 7320U 2.4GHz 8GB RAM 128GB SSD Refurbished",8539.37301
SGIN 15.6/17.3 inch Laptop 128GB 256GB 512GB SSD Intel Celeron WIFI Windows 11,8539.37301
"HP - 14"" Laptop - Intel Celeron N4500 2021 - 4GB Memory - 64GB eMMC - Snowfla...",8539.37301
"Dell Latitude 3520 15.6"" HD Laptop Intel Core i5-1135G7 2.40GH 16GB 256GB Win11P",8539.37301
"HP ProBook 445 G8 14” FHD IPS AMD Ryzen 5 5600U 16GB 256GB SSD W11P Laptop, SL",8539.8
"Lenovo ThinkPad X1 Carbon 14"" Business Laptop Core i5 8GB RAM 256GB SSD Win 11",8564.138429999999
