itemId,title,price,currency,condition,conditionId,category,categoryId,imageUrl,sellerUsername,sellerFeedback,sellerPositivePercent,itemLocation,shippingPrice
v1|306412265360|0,"Dell Latitude 5420 14"" i5-1145G7 16GB Ram 256GB SSD Windows 11 Pro Laptop Touch",7771.218,USD,Used,3000,,,https://i.ebayimg.com/images/g/i64AAeSwh9JogXSn/s-l225.jpg,hawk_line,35229,,US,0.0
v1|396963438043|0,2023 CHUWI MINIBOOK X 10.51in Touchscreen Mini Laptop IntelN100 RAM 12G 512G SSD,10416.421049999999,USD,New,1000,,,https://i.ebayimg.com/images/g/sNsAAOSw1ptl~abF/s-l225.jpg,chuwiofficial,474,,US,0.0
v1|326840069243|0,"HP - 15.6"" Laptop - Intel Core i3 N305 2023 - 8GB Memory - 128GB UFS - Natura...",11955.29301,USD,New,1000,,,https://i.ebayimg.com/images/g/bnwAAeSwoSdpNz3A/s-l225.jpg,best_buy,909688,,US,0.0
v1|135957493797|0,"HP 14-ep2012wm 14"" HD N4020 2.6GHz Intel Graphics 4GB RAM 128GB SSD Win 11 Home",5072.6412,USD,Very Good - Refurbished,2020,,,https://i.ebayimg.com/images/g/QYwAAeSwAWNpGLDT/s-l225.jpg,vipoutlet,567871,,US,0.0
v1|326605385607|0,"Dell Latitude 3189 11.6"" 2-in-1 Touch Laptop Celeron 4GB 128GB SSD Windows 11 !!",3373.221,USD,Used,3000,,,https://i.ebayimg.com/images/g/8GAAAOSwDwtjGz5F/s-l225.jpg,jcs_computer_store,69971,,US,0.0
v1|306501336990|0,"Dell Latitude 3190 2-in-1 Laptop 11.6"" Intel N5030 @1.10GHz 8GB 128GB SSD",3415.92,USD,Used,3000,,,https://i.ebayimg.com/images/g/nqUAAeSwFuhobZCw/s-l225.jpg,hawk_line,35229,,US,0.0
v1|205814486704|0,"Dell - 15.6"" FHD Laptop - AMD Ryzen 7 7730U 2023 - 16GB Memory - 1TB Storage ...",19214.12301,USD,New,1000,,,https://i.ebayimg.com/images/g/3EAAAeSwx2lpOyXY/s-l225.jpg,best_buy,909688,,US,0.0
v1|256697225667|0,"Acer Aspire 5 15.6"" Laptop Intel i7-13620H 2.4 GH 16GB RAM 512GB SSD Refurbished",17079.17301,USD,Certified - Refurbished,2000,,,https://i.ebayimg.com/images/g/29YAAOSwxtNoCCXD/s-l225.jpg,acer,92044,,US,0.0
v1|256696935114|0,Dell Latitude Laptop 11.6” HD 8GB RAM 128GB SSD Intel Pentium Silver Win 11 WiFi,5550.44301,USD,Good - Refurbished,2030,,,https://i.ebayimg.com/images/g/prAAAeSw48ZpOp1s/s-l225.jpg,discountcomputerdepot,145604,,US,0.0
v1|116656485810|0,"15.6"" HP ProBook Laptop PC:  Intel i5! (16GB RAM- 1TB NVME SSD) Windows 11 Pro!",11808.40845,USD,Good - Refurbished,2030,,,https://i.ebayimg.com/images/g/jpIAAeSwgUlo4-vL/s-l225.jpg,rinuvo,10364,,US,0.0
